Employee ID,Department,Work Hours,Training Hours,Absenteeism Rate,Productivity Score,Satisfaction Score,Revenue Generated,Turnover Status
EMP0032,Sales,44,26,14.55,79,3.5,5124.13,No
EMP0033,HR,31,25,4.91,65,2.4,4216.06,Yes
EMP0034,Sales,34,20,5.93,80,1.5,5188.99,No
EMP0035,Marketing,23,39,10.5,96,2.7,6226.79,No
EMP0036,Marketing,33,20,4.89,88,4.1,5707.89,Yes
EMP0037,Finance,38,34,0.11,84,1.5,5448.44,No
EMP0038,Sales,26,6,9.67,93,2.8,6032.2,No
EMP0039,HR,47,1,3.71,72,2.3,4670.09,No
EMP0040,IT,57,28,4.55,95,4.3,6161.93,No
EMP0041,IT,27,13,12.93,72,3.8,4670.09,No
EMP0042,IT,49,21,7.79,88,2.1,5707.89,No
EMP0043,Marketing,54,4,10.99,76,1.2,4929.54,Yes
EMP0044,Finance,26,33,11.2,82,2.8,5318.72,No
EMP0045,Sales,42,4,12.72,87,1.5,5643.03,No
EMP0046,HR,25,2,6.36,93,1.2,6032.2,No
EMP0047,Marketing,26,10,14.55,68,4.9,4410.64,No
EMP0048,Marketing,52,7,0.54,67,1.5,4345.78,No
EMP0049,HR,34,6,3.78,99,4.2,6421.38,No
EMP0050,HR,48,27,2.48,93,4.8,6032.2,Yes
EMP0051,Marketing,45,23,12.72,74,3.0,4799.82,Yes
EMP0052,IT,47,11,0.5,82,2.2,5318.72,Yes
EMP0053,IT,59,26,1.01,68,2.3,4410.64,No
EMP0054,Sales,30,21,14.12,93,3.0,6032.2,No
EMP0055,IT,52,15,1.47,89,4.8,5772.75,Yes
EMP0056,Sales,55,31,3.66,97,1.7,6291.65,No
EMP0057,IT,33,26,6.91,82,4.5,5318.72,No
EMP0058,IT,40,22,4.3,75,2.6,4864.68,No
EMP0059,Marketing,23,37,2.5,86,4.5,5578.17,No
EMP0060,IT,29,27,9.79,70,3.8,4540.37,No
EMP0061,Sales,26,13,9.98,86,1.7,5578.17,Yes
EMP0062,HR,27,2,8.92,64,3.1,4151.19,No
EMP0063,Finance,24,38,14.8,73,1.5,4734.96,No
EMP0064,Sales,52,14,5.98,82,4.1,5318.72,Yes
EMP0065,Sales,30,16,0.71,86,1.6,5578.17,Yes
EMP0066,HR,34,31,4.48,94,1.3,6097.07,Yes
EMP0067,Finance,57,38,8.38,84,1.7,5448.44,No
EMP0068,HR,43,15,7.3,67,4.5,4345.78,No
EMP0069,IT,22,38,10.09,65,2.8,4216.06,No
EMP0070,HR,20,13,5.09,74,1.1,4799.82,No
EMP0071,IT,25,14,2.23,81,2.2,5253.86,No
EMP0072,Sales,55,18,10.74,76,3.7,4929.54,No
EMP0073,HR,50,29,14.86,89,3.9,5772.75,No
EMP0074,Marketing,59,18,13.09,88,4.3,5707.89,No
EMP0075,IT,58,30,11.89,60,1.4,3891.74,No
EMP0076,Sales,22,35,0.19,62,2.8,4021.47,No
EMP0077,HR,29,34,4.54,76,3.2,4929.54,Yes
EMP0078,Marketing,51,30,6.25,75,3.5,4864.68,Yes
EMP0079,IT,24,37,13.76,76,3.9,4929.54,No
EMP0080,Finance,36,35,10.69,74,4.4,4799.82,No
EMP0081,Finance,48,6,6.46,63,2.1,4086.33,No
EMP0082,Finance,53,39,11.59,89,3.8,5772.75,Yes
EMP0083,Marketing,20,19,14.9,77,4.0,4994.41,No
EMP0084,Marketing,42,38,5.73,99,4.2,6421.38,No
EMP0085,Finance,21,12,2.97,67,3.2,4345.78,Yes
EMP0086,Finance,37,38,6.24,83,1.0,5383.58,No
EMP0087,Finance,30,39,9.95,62,3.9,4021.47,No
EMP0088,Finance,30,18,13.99,97,3.3,6291.65,No
EMP0089,Finance,33,35,6.32,97,3.8,6291.65,No
EMP0090,IT,38,22,12.88,86,3.0,5578.17,No
EMP0091,Finance,26,18,3.03,98,4.4,6356.52,No
EMP0092,HR,26,31,13.18,66,3.4,4280.92,No
EMP0093,HR,58,30,4.24,67,1.7,4345.78,Yes
EMP0094,IT,27,18,14.54,69,2.7,4475.51,Yes
EMP0095,IT,41,37,6.23,94,2.0,6097.07,No
EMP0096,IT,45,9,2.67,81,1.8,5253.86,No
EMP0097,IT,44,14,13.4,84,4.5,5448.44,No
EMP0098,Marketing,22,18,12.35,91,2.8,5902.48,No
EMP0099,Finance,27,35,1.41,93,1.2,6032.2,No
EMP0100,HR,29,37,7.89,77,1.5,4994.41,No
EMP0101,Marketing,30,15,14.14,93,4.0,6032.2,Yes
EMP0102,HR,49,22,4.33,62,4.3,4021.47,No
EMP0103,HR,53,2,5.37,79,2.5,5124.13,No
EMP0104,Marketing,37,13,5.1,66,2.6,4280.92,Yes
EMP0105,Finance,42,19,7.08,74,4.8,4799.82,No
EMP0106,Sales,31,3,8.34,82,1.1,5318.72,No
EMP0107,IT,30,22,9.2,96,1.2,6226.79,No
EMP0108,Finance,25,8,4.66,83,4.0,5383.58,No
EMP0109,Finance,24,16,8.42,81,2.5,5253.86,No
EMP0110,Finance,44,35,13.76,63,1.7,4086.33,No
EMP0111,HR,37,35,3.62,95,1.2,6161.93,No
EMP0112,Sales,53,4,8.91,82,1.2,5318.72,No
EMP0113,Finance,21,35,9.13,76,2.1,4929.54,Yes
EMP0114,IT,50,30,3.52,60,2.2,3891.74,No
EMP0115,HR,48,5,5.75,83,3.7,5383.58,Yes
EMP0116,HR,49,25,13.04,68,1.1,4410.64,Yes
EMP0117,Finance,33,9,14.25,77,3.7,4994.41,No
EMP0118,Marketing,30,36,2.2,70,3.5,4540.37,Yes
EMP0119,Finance,52,31,13.55,80,1.6,5188.99,No
EMP0120,Marketing,22,23,4.99,92,4.7,5967.34,Yes
EMP0121,Marketing,32,35,5.06,71,1.6,4605.23,No
EMP0122,Sales,31,13,5.22,83,3.3,5383.58,No
EMP0123,Finance,59,26,3.87,91,4.2,5902.48,No
EMP0124,Finance,34,17,1.38,63,3.9,4086.33,No
EMP0125,Marketing,58,39,3.15,63,4.6,4086.33,No
EMP0126,HR,30,16,11.51,79,1.3,5124.13,No
EMP0127,IT,36,27,4.24,98,1.6,6356.52,Yes
EMP0128,Sales,30,1,6.95,82,2.3,5318.72,Yes
EMP0129,Finance,52,38,10.81,97,2.0,6291.65,No
EMP0130,Finance,46,2,1.73,82,2.3,5318.72,No
EMP0131,Finance,22,12,2.07,83,3.4,5383.58,Yes
EMP0132,Finance,25,31,10.29,62,4.6,4021.47,No
EMP0133,Finance,25,7,5.35,60,1.4,3891.74,No
EMP0134,Marketing,48,1,11.58,77,1.0,4994.41,No
EMP0135,Sales,47,17,4.46,98,5.0,6356.52,No
EMP0136,Sales,33,36,12.45,77,2.6,4994.41,Yes
EMP0137,IT,32,19,9.65,98,2.3,6356.52,No
EMP0138,Sales,24,15,8.98,75,3.8,4864.68,Yes
EMP0139,Finance,20,39,6.05,67,3.9,4345.78,Yes
EMP0140,IT,30,7,11.97,78,4.7,5059.27,Yes
EMP0141,HR,37,7,6.62,89,1.3,5772.75,No
EMP0142,Sales,33,27,3.78,95,3.5,6161.93,No
EMP0143,Sales,20,16,4.37,89,4.9,5772.75,Yes
EMP0144,Marketing,45,12,3.17,74,4.0,4799.82,No
EMP0145,Sales,39,6,4.09,80,3.0,5188.99,No
EMP0146,IT,56,33,5.15,77,4.2,4994.41,No
EMP0147,Sales,46,24,6.73,68,4.2,4410.64,No
EMP0148,Sales,38,3,10.44,95,4.4,6161.93,No
EMP0149,Sales,40,35,5.71,73,4.7,4734.96,No
EMP0150,Sales,51,32,6.15,88,1.7,5707.89,No
EMP0151,Sales,40,24,9.91,94,2.1,6097.07,No
EMP0152,Marketing,50,38,11.09,83,1.2,5383.58,No
EMP0153,Finance,41,6,3.21,81,3.4,5253.86,No
EMP0154,Finance,57,31,9.37,89,3.9,5772.75,Yes
EMP0155,Finance,25,14,7.08,88,4.7,5707.89,Yes
EMP0156,Sales,50,22,2.91,91,4.1,5902.48,No
EMP0157,Finance,54,24,2.81,78,2.9,5059.27,No
EMP0158,IT,21,4,3.84,88,1.1,5707.89,No
EMP0159,IT,36,14,13.51,91,3.2,5902.48,No
EMP0160,IT,39,15,6.97,72,1.3,4670.09,No
EMP0161,Sales,27,10,11.17,97,4.5,6291.65,No
EMP0162,IT,40,35,6.99,96,3.9,6226.79,No
EMP0163,Finance,25,6,0.08,71,1.9,4605.23,No
EMP0164,HR,48,0,0.56,82,4.3,5318.72,No
EMP0165,IT,37,10,2.05,87,2.9,5643.03,No
EMP0166,IT,56,12,9.82,63,2.2,4086.33,No
EMP0167,HR,57,22,9.87,91,2.3,5902.48,No
EMP0168,Sales,41,22,6.63,73,3.7,4734.96,No
EMP0169,Marketing,51,18,3.22,67,1.9,4345.78,Yes
EMP0170,Finance,34,29,2.76,80,1.4,5188.99,No
EMP0171,IT,45,34,13.26,93,1.7,6032.2,No
EMP0172,HR,29,24,11.92,85,4.1,5513.3,No
EMP0173,IT,21,38,7.82,94,3.0,6097.07,No
EMP0174,Sales,35,37,13.74,77,4.5,4994.41,No
EMP0175,HR,56,37,0.32,63,2.9,4086.33,No
EMP0176,Sales,38,4,11.2,72,3.3,4670.09,No
EMP0177,Sales,34,28,11.04,77,1.9,4994.41,No
EMP0178,Finance,34,22,1.88,61,4.9,3956.61,Yes
EMP0179,Marketing,27,36,7.72,87,2.6,5643.03,No
EMP0180,HR,26,34,5.73,98,3.1,6356.52,No
EMP0181,HR,59,34,12.84,96,2.1,6226.79,No
EMP0182,Finance,59,38,10.57,99,3.4,6421.38,No
EMP0183,IT,41,29,3.61,62,1.9,4021.47,Yes
EMP0184,HR,27,30,0.15,94,3.1,6097.07,No
EMP0185,Finance,32,14,3.14,88,4.4,5707.89,Yes
EMP0186,Finance,23,10,3.33,87,4.7,5643.03,No
EMP0187,Finance,47,25,13.21,75,2.8,4864.68,No
EMP0188,IT,59,16,3.61,92,3.1,5967.34,No
EMP0189,IT,45,9,4.54,61,3.3,3956.61,No
EMP0190,Finance,32,39,0.14,84,3.4,5448.44,Yes
EMP0191,IT,42,33,11.06,74,2.9,4799.82,Yes
EMP0192,IT,29,28,9.55,88,1.3,5707.89,No
EMP0193,IT,37,2,4.13,99,2.3,6421.38,No
EMP0194,Marketing,34,26,1.68,65,1.6,4216.06,Yes
EMP0195,Marketing,23,4,1.77,66,1.2,4280.92,No
EMP0196,Sales,30,26,0.51,94,4.2,6097.07,No
EMP0197,Marketing,31,18,1.5,95,3.6,6161.93,No
EMP0198,Sales,55,8,11.67,89,4.4,5772.75,Yes
EMP0199,IT,32,11,7.26,84,4.7,5448.44,No
EMP0200,Finance,45,18,5.68,67,4.3,4345.78,No
EMP0201,HR,44,0,10.29,99,2.4,6421.38,Yes
EMP0202,Marketing,27,27,3.34,79,5.0,5124.13,No
EMP0203,Finance,44,2,7.29,89,3.9,5772.75,No
EMP0204,Marketing,34,32,2.35,93,1.4,6032.2,No
EMP0205,HR,39,21,11.9,84,3.8,5448.44,No
EMP0206,Finance,43,30,9.07,69,4.1,4475.51,No
EMP0207,Marketing,51,8,7.96,63,4.8,4086.33,No
EMP0208,Finance,30,23,2.1,94,3.2,6097.07,No
EMP0209,HR,27,34,4.57,88,2.1,5707.89,No
EMP0210,Marketing,42,25,2.96,61,4.2,3956.61,No
EMP0211,Finance,59,0,1.45,74,2.7,4799.82,No
EMP0212,Sales,38,7,13.92,73,2.6,4734.96,Yes
EMP0213,Finance,49,2,11.65,75,2.9,4864.68,No
EMP0214,HR,51,23,7.58,84,2.9,5448.44,No
EMP0215,Marketing,40,11,2.37,66,4.1,4280.92,No
EMP0216,Finance,32,28,9.43,78,2.2,5059.27,No
EMP0217,Sales,27,32,10.57,73,1.1,4734.96,No
EMP0218,Marketing,54,11,14.99,92,4.9,5967.34,No
EMP0219,Sales,51,23,5.01,65,4.1,4216.06,No
EMP0220,Finance,21,31,0.13,84,4.5,5448.44,No
EMP0221,HR,24,37,6.12,77,1.2,4994.41,No
EMP0222,Marketing,56,31,1.01,68,2.7,4410.64,No
EMP0223,HR,47,26,13.04,71,4.1,4605.23,No
EMP0224,Finance,51,13,8.41,93,4.6,6032.2,No
EMP0225,Sales,38,34,0.84,94,1.2,6097.07,Yes
EMP0226,Finance,58,12,8.79,73,2.4,4734.96,No
EMP0227,Marketing,27,12,5.55,90,3.8,5837.62,No
EMP0228,HR,51,12,5.35,74,3.7,4799.82,No
EMP0229,Finance,46,20,9.21,65,2.4,4216.06,No
EMP0230,HR,56,36,9.7,78,3.4,5059.27,No
EMP0231,HR,43,28,4.33,83,4.8,5383.58,No
EMP0232,IT,41,27,5.68,92,1.8,5967.34,No
EMP0233,IT,50,7,10.76,92,4.7,5967.34,Yes
EMP0234,Sales,50,26,6.69,87,3.6,5643.03,Yes
EMP0235,Finance,49,33,11.02,68,1.3,4410.64,No
EMP0236,HR,31,5,5.4,64,1.1,4151.19,No
EMP0237,IT,25,11,0.09,82,3.8,5318.72,No
EMP0238,Sales,40,23,9.86,87,1.5,5643.03,No
EMP0239,HR,57,26,4.8,98,2.6,6356.52,No
EMP0240,Sales,32,17,9.31,65,2.4,4216.06,No
EMP0241,HR,39,11,3.71,73,1.3,4734.96,Yes
EMP0242,HR,47,29,0.49,83,4.5,5383.58,Yes
EMP0243,IT,37,33,7.31,88,2.2,5707.89,No
EMP0244,Marketing,29,10,7.08,73,4.1,4734.96,No
EMP0245,HR,48,23,6.13,80,4.9,5188.99,No
EMP0246,Marketing,53,18,10.28,70,2.3,4540.37,No
EMP0247,Marketing,28,38,4.53,95,3.4,6161.93,Yes
EMP0248,HR,35,39,11.5,96,1.2,6226.79,Yes
EMP0249,Finance,38,9,14.11,60,2.3,3891.74,Yes
EMP0250,HR,41,6,4.19,99,2.5,6421.38,No
EMP0251,Sales,31,37,1.11,82,3.0,5318.72,No
EMP0252,HR,28,25,2.41,82,3.4,5318.72,No
EMP0253,HR,30,5,4.17,98,3.2,6356.52,No
EMP0254,Finance,22,19,14.72,87,3.6,5643.03,Yes
EMP0255,Finance,21,7,0.64,84,1.7,5448.44,No
EMP0256,Marketing,40,37,8.95,84,3.8,5448.44,No
EMP0257,Marketing,43,0,5.76,63,1.9,4086.33,No
EMP0258,Finance,52,23,9.47,86,4.3,5578.17,No
EMP0259,Finance,22,32,12.23,69,1.2,4475.51,No
EMP0260,Sales,47,30,12.67,88,3.6,5707.89,Yes
EMP0261,HR,22,37,7.27,68,4.1,4410.64,No
EMP0262,Sales,38,8,2.44,81,2.7,5253.86,Yes
EMP0263,Finance,26,6,2.89,68,3.0,4410.64,No
EMP0264,Finance,29,16,12.01,73,1.9,4734.96,No
EMP0265,Marketing,39,30,12.78,99,4.3,6421.38,No
EMP0266,Finance,20,35,4.44,65,3.0,4216.06,Yes
EMP0267,Marketing,35,3,2.0,62,2.4,4021.47,No
EMP0268,IT,25,33,1.43,75,2.3,4864.68,Yes
EMP0269,IT,33,18,14.7,95,4.6,6161.93,Yes
EMP0270,IT,56,22,14.59,75,3.6,4864.68,No
EMP0271,Marketing,30,12,10.38,86,2.5,5578.17,No
EMP0272,HR,22,23,2.04,91,3.1,5902.48,No
EMP0273,IT,45,34,14.05,70,4.3,4540.37,No
EMP0274,Marketing,29,15,2.11,97,1.1,6291.65,No
EMP0275,Sales,58,15,14.4,74,1.6,4799.82,No
EMP0276,Sales,24,12,5.78,82,4.1,5318.72,No
EMP0277,Sales,57,12,5.33,72,4.8,4670.09,No
EMP0278,Sales,48,33,2.35,72,2.3,4670.09,No
EMP0279,HR,25,12,0.91,97,4.4,6291.65,No
EMP0280,Sales,40,14,8.45,67,1.8,4345.78,No
EMP0281,HR,30,7,8.55,98,2.7,6356.52,No
EMP0282,Finance,59,8,4.55,93,4.1,6032.2,No
EMP0283,HR,34,8,11.52,61,3.4,3956.61,No
EMP0284,HR,37,17,5.07,83,3.0,5383.58,No
EMP0285,Finance,41,15,10.41,93,4.2,6032.2,Yes
EMP0286,HR,34,38,12.08,85,2.4,5513.3,No
EMP0287,HR,57,8,10.45,99,3.2,6421.38,No
EMP0288,HR,41,28,12.99,95,4.5,6161.93,No
EMP0289,Finance,45,29,9.72,83,2.6,5383.58,No
EMP0290,HR,25,25,3.74,93,1.4,6032.2,No
EMP0291,Finance,31,25,9.75,65,2.5,4216.06,No
EMP0292,Marketing,49,6,1.31,99,1.0,6421.38,Yes
EMP0293,HR,30,34,3.79,68,2.7,4410.64,No
EMP0294,Finance,38,34,2.62,74,3.8,4799.82,Yes
EMP0295,Finance,44,8,0.81,89,4.8,5772.75,No
EMP0296,Finance,25,14,5.6,87,1.9,5643.03,No
EMP0297,Marketing,21,8,3.48,84,3.5,5448.44,No
EMP0298,Finance,50,19,5.59,88,3.9,5707.89,No
EMP0299,Sales,55,22,10.39,78,1.7,5059.27,Yes
EMP0300,IT,52,6,2.14,65,2.7,4216.06,Yes
EMP0301,Finance,31,4,11.92,86,1.8,5578.17,No
EMP0302,Sales,35,37,14.9,98,3.9,6356.52,No
EMP0303,Finance,39,32,2.82,61,3.5,3956.61,No
EMP0304,Marketing,57,31,9.71,93,1.4,6032.2,No
EMP0305,Marketing,35,11,11.3,97,3.7,6291.65,Yes
EMP0306,Finance,50,16,12.99,84,3.6,5448.44,Yes
EMP0307,HR,41,26,3.52,99,3.6,6421.38,Yes
EMP0308,Sales,59,30,10.49,79,4.2,5124.13,No
EMP0309,Finance,35,39,6.37,73,2.7,4734.96,No
EMP0310,IT,51,9,9.73,71,1.7,4605.23,No
EMP0311,Marketing,35,28,13.83,89,2.4,5772.75,Yes
EMP0312,HR,40,17,12.25,84,4.7,5448.44,No
EMP0313,HR,53,17,11.42,88,1.5,5707.89,No
EMP0314,Sales,28,6,6.12,71,2.9,4605.23,No
EMP0315,Finance,24,9,1.63,97,5.0,6291.65,No
EMP0316,Sales,41,11,12.07,83,2.4,5383.58,No
EMP0317,Marketing,46,30,4.79,76,4.2,4929.54,No
EMP0318,Finance,53,36,6.52,95,3.9,6161.93,No
EMP0319,Finance,39,4,1.65,89,1.9,5772.75,No
EMP0320,Sales,26,13,13.18,69,3.3,4475.51,Yes
EMP0321,Finance,56,16,14.14,84,2.4,5448.44,No
EMP0322,Sales,37,5,8.0,84,3.5,5448.44,No
EMP0323,Marketing,58,36,2.37,68,1.7,4410.64,No
EMP0324,Marketing,49,23,13.5,98,4.0,6356.52,No
EMP0325,Marketing,44,3,3.26,82,2.7,5318.72,No
EMP0326,Finance,55,4,3.51,73,3.8,4734.96,No
EMP0327,Marketing,56,5,6.47,77,3.6,4994.41,Yes
EMP0328,HR,27,2,12.83,91,1.7,5902.48,No
EMP0329,IT,44,8,5.9,95,4.1,6161.93,No
EMP0330,IT,49,21,3.93,81,5.0,5253.86,No
EMP0331,Finance,42,10,10.33,77,3.2,4994.41,No
EMP0332,IT,30,34,6.81,83,3.9,5383.58,No
EMP0333,IT,49,20,9.54,86,4.8,5578.17,No
EMP0334,IT,32,22,7.8,66,4.1,4280.92,No
EMP0335,IT,37,6,13.57,69,4.4,4475.51,Yes
EMP0336,HR,45,28,7.06,62,2.5,4021.47,No
EMP0337,Marketing,20,21,4.79,80,4.7,5188.99,No
EMP0338,HR,42,17,1.02,81,3.5,5253.86,No
EMP0339,Marketing,21,39,5.88,83,4.6,5383.58,No
EMP0340,Finance,56,25,3.73,77,2.7,4994.41,Yes
EMP0341,Finance,48,17,14.69,61,3.8,3956.61,Yes
EMP0342,Marketing,54,19,9.45,90,3.3,5837.62,No
EMP0343,HR,28,4,2.33,88,4.2,5707.89,No
EMP0344,IT,34,31,4.11,76,1.7,4929.54,No
EMP0345,Sales,25,8,14.98,67,1.3,4345.78,Yes
EMP0346,Marketing,53,26,3.75,65,1.4,4216.06,No
EMP0347,Finance,30,18,8.91,72,2.8,4670.09,No
EMP0348,Sales,27,38,0.64,83,2.0,5383.58,Yes
EMP0349,Sales,26,17,8.46,99,1.3,6421.38,No
EMP0350,Finance,49,3,7.12,66,2.8,4280.92,Yes
EMP0351,Sales,24,10,10.35,74,2.2,4799.82,No
EMP0352,HR,25,32,0.23,85,3.6,5513.3,No
EMP0353,Finance,44,8,11.63,80,4.4,5188.99,No
EMP0354,Finance,22,32,6.04,99,2.5,6421.38,No
EMP0355,Marketing,20,8,3.63,67,3.9,4345.78,No
EMP0356,HR,29,26,10.9,97,2.0,6291.65,No
EMP0357,IT,34,17,10.28,81,4.7,5253.86,No
EMP0358,HR,29,14,6.79,91,2.8,5902.48,Yes
EMP0359,Sales,21,29,14.8,61,4.5,3956.61,No
EMP0360,IT,44,16,0.47,93,4.2,6032.2,No
EMP0361,Marketing,32,1,13.88,63,1.7,4086.33,Yes
EMP0362,Marketing,41,10,10.62,72,3.5,4670.09,No
EMP0363,Sales,52,19,11.21,70,2.5,4540.37,Yes
EMP0364,Finance,27,12,8.11,71,3.2,4605.23,Yes
EMP0365,Marketing,35,32,9.4,65,3.1,4216.06,Yes
EMP0366,IT,26,15,11.47,60,2.9,3891.74,No
EMP0367,Sales,55,22,0.45,96,4.9,6226.79,No
EMP0368,IT,51,18,1.11,72,2.5,4670.09,No
EMP0369,Marketing,55,31,9.81,76,2.7,4929.54,No
EMP0370,IT,33,27,8.41,69,1.4,4475.51,No
EMP0371,Finance,54,16,6.08,97,4.2,6291.65,Yes
EMP0372,IT,34,29,14.9,64,1.6,4151.19,No
EMP0373,Sales,21,18,14.46,94,3.2,6097.07,No
EMP0374,Finance,49,8,13.03,94,3.2,6097.07,No
EMP0375,Sales,53,22,1.94,98,2.6,6356.52,No
EMP0376,HR,31,19,14.08,67,3.1,4345.78,No
EMP0377,Finance,39,23,4.78,69,2.0,4475.51,No
EMP0378,IT,42,28,0.37,78,1.2,5059.27,No
EMP0379,Marketing,42,3,2.25,90,4.3,5837.62,No
EMP0380,Finance,25,15,9.59,71,4.0,4605.23,No
EMP0381,IT,33,6,3.29,80,1.7,5188.99,Yes
EMP0382,Finance,45,14,4.23,78,3.9,5059.27,Yes
EMP0383,Sales,27,26,14.89,77,4.1,4994.41,No
EMP0384,Marketing,54,20,0.61,86,4.5,5578.17,No
EMP0385,IT,35,3,4.06,91,2.0,5902.48,Yes
EMP0386,HR,46,35,12.98,83,3.1,5383.58,No
EMP0387,Marketing,43,31,4.83,86,4.8,5578.17,No
EMP0388,Marketing,52,6,0.22,94,1.9,6097.07,No
EMP0389,Marketing,42,31,10.46,63,1.1,4086.33,No
EMP0390,Sales,41,15,5.79,72,3.5,4670.09,No
EMP0391,Finance,37,29,3.3,61,2.8,3956.61,No
EMP0392,Marketing,37,12,13.79,65,3.6,4216.06,No
EMP0393,HR,29,10,9.3,85,4.4,5513.3,Yes
EMP0394,HR,51,16,9.74,89,3.4,5772.75,No
EMP0395,HR,53,37,4.38,91,2.8,5902.48,No
EMP0396,Finance,57,16,14.86,79,3.6,5124.13,Yes
EMP0397,HR,26,33,3.08,76,4.4,4929.54,No
EMP0398,IT,54,25,4.05,66,1.3,4280.92,No
EMP0399,HR,28,37,4.42,83,1.3,5383.58,Yes
EMP0400,Marketing,40,1,13.37,72,4.5,4670.09,No
EMP0401,Sales,50,16,8.34,74,1.3,4799.82,Yes
EMP0402,Marketing,40,2,11.75,99,3.6,6421.38,No
EMP0403,Marketing,46,20,5.74,97,2.1,6291.65,No
EMP0404,Finance,31,18,3.2,62,3.6,4021.47,No
EMP0405,Sales,49,39,1.01,66,2.2,4280.92,Yes
EMP0406,Marketing,40,11,9.72,99,2.2,6421.38,No
EMP0407,Finance,26,22,8.99,67,4.2,4345.78,No
EMP0408,Marketing,58,2,6.77,82,1.9,5318.72,No
EMP0409,Marketing,43,8,14.79,97,4.7,6291.65,No
EMP0410,HR,48,28,14.19,91,2.2,5902.48,No
EMP0411,HR,56,23,5.88,82,1.4,5318.72,No
EMP0412,Finance,31,27,9.55,95,3.1,6161.93,No
EMP0413,Sales,47,0,4.46,98,1.8,6356.52,No
EMP0414,Finance,52,6,8.38,69,1.4,4475.51,No
EMP0415,Finance,55,34,10.31,69,4.2,4475.51,No
EMP0416,Sales,28,8,3.8,76,4.4,4929.54,No
EMP0417,Sales,42,1,8.01,75,3.6,4864.68,No
EMP0418,HR,49,18,0.1,76,3.0,4929.54,No
EMP0419,HR,58,39,8.03,65,4.4,4216.06,Yes
EMP0420,Finance,28,29,11.61,65,5.0,4216.06,Yes
EMP0421,Sales,28,29,4.98,77,1.3,4994.41,No
EMP0422,Finance,29,1,6.7,61,3.6,3956.61,No
EMP0423,HR,28,31,4.31,87,1.6,5643.03,No
EMP0424,Marketing,29,6,9.9,71,1.3,4605.23,No
EMP0425,Sales,40,0,13.25,89,1.1,5772.75,No
EMP0426,Finance,25,30,12.4,84,3.4,5448.44,No
EMP0427,Sales,42,29,5.09,67,1.9,4345.78,No
EMP0428,Marketing,39,38,1.71,97,2.2,6291.65,No
EMP0429,Sales,31,24,2.79,93,1.6,6032.2,No
EMP0430,Marketing,27,6,4.47,72,2.9,4670.09,Yes
EMP0431,Sales,51,27,0.46,87,4.7,5643.03,No
EMP0432,IT,44,20,14.76,97,2.6,6291.65,No
EMP0433,Finance,47,38,8.37,94,4.1,6097.07,No
EMP0434,Sales,34,20,1.85,65,2.6,4216.06,No
EMP0435,Finance,42,23,12.65,71,5.0,4605.23,No
EMP0436,IT,38,21,11.79,65,1.9,4216.06,No
EMP0437,Sales,58,37,3.83,67,3.5,4345.78,No
EMP0438,Marketing,28,4,13.77,85,3.0,5513.3,Yes
EMP0439,Sales,39,38,6.63,64,4.5,4151.19,No
EMP0440,Marketing,50,21,14.23,83,4.2,5383.58,No
EMP0441,Sales,33,32,3.48,78,1.2,5059.27,No
EMP0442,IT,27,26,11.86,68,4.9,4410.64,No
EMP0443,Finance,55,39,9.69,87,1.5,5643.03,No
